"Sex" "Wingcrd" "Tarsus" "Head" "Wt"
"Female" 61 22.5 33.7 22.4
"Female" 56.5 23.6 33.9 21.5
"Male" 61.5 23.1 33.3 22
"Female" 60 23.1 33.5 23.6
"Male" 61 24.3 34.4 23.8
"Male" 59.5 21.9 31.2 20.9
"Female" 53 20.6 32.5 15.6
"Male" 58.5 21.7 32.8 21.8
"Male" 58 22 31.2 20.8
"Male" 60 21.4 31.8 21.9
"Male" 60 21.5 32 20.4
"Male" 58.5 21.2 32 20.8
"Female" 58 21.5 31.3 21.7
"Male" 59 21.5 31.5 21.4
"Male" 57 21.1 31.6 18
"Male" 57 21.8 31.8 21.5
"Male" 59 21.8 32.1 20.4
"Female" 56.5 21.2 32.2 17.7
"Male" 60 21.3 32.5 21
"Male" 56.5 21 32.5 20.4
"Male" 60 21.6 32.6 20
"Male" 56 22.3 32.7 19.8
"Male" 58 21.9 32.7 20.8
"Female" 56 21.9 31.3 19.2
"Female" 54 21.2 31.4 18.4
"Male" 55.5 21.9 31.9 20
"Male" 57.5 21.8 31.9 20
"Male" 55.5 21.6 31.9 18
"Male" 58 20.6 31.9 19.8
"Male" 58 21.8 32.2 20.5
"Male" 59 21.7 32.2 21.1
"Male" 59.5 22.5 32.3 20.9
"Male" 56 21.6 32.3 19.3
"Male" 59.5 21.6 32.3 20.9
"Male" 57 21.5 32.3 19.5
"Male" 57 20.8 32.5 19.2
"Male" 58 21.6 32.6 20.1
"Male" 59 21.8 32.7 21.4
"Male" 59.5 20.8 30.3 20
"Male" 55.5 21.1 30.8 18.2
"Male" 59.5 21.7 31.7 21
"Male" 57 21.1 31.7 21
"Female" 55 20.7 31.8 18.6
"Female" 55 21.1 31.9 19.4
"Male" 58 21 31.9 19.4
"Male" 57 21.2 32 19.2
"Male" 60 20.8 32.1 20.8
"Male" 58 22.5 32.2 20.6
"Male" 57 21.8 32.2 20.1
"Male" 57 21.7 32.2 19.5
"Male" 59 21.5 32.2 20.8
"Male" 59 22.1 32.3 20.5
"Male" 58 21 32.3 22.2
"Male" 59.5 21.8 32.4 21.2
"Male" 56.5 21.5 32.4 19.2
"Male" 58 21.5 32.5 19.6
"Female" 55 21.5 32.5 18.3
"Male" 58.5 20.9 32.6 19
"Male" 59.5 21.5 32.8 21
"Male" 59 22.2 32.9 20.4
"Male" 60 22 33.5 20.7
"Male" 59 21.8 30.5 20.3
"Female" 54 21.1 30.7 22
"Female" 56 21.1 30.8 19.5
"Male" 57 21.2 31.1 21.1
"Female" 57 21.8 31.3 16.2
"Male" 57.5 21.5 31.3 19.7
"Female" 55 21.2 31.8 20.8
"Female" 56.5 21.9 31.9 21.2
"Male" 58 21.8 32 20.2
"Male" 57 21.7 32 20.4
"Male" 60.5 20.7 32 20.5
"Male" 59.5 21.5 32.1 20.1
"Female" 55 21.4 32.1 17.8
"Male" 59 21.8 32.2 21.2
"Male" 60 22.1 32.3 19.9
"Male" 61 21.7 32.3 21.2
"Male" 59 20.7 32.5 20
"Male" 60 22.8 32.6 22
"Male" 57 22.4 32.6 20.5
"Male" 57 22.3 32.7 19.5
"Male" 59 21.1 31.3 20.6
"Female" 54 20.9 31.6 17.5
"Male" 57 20.5 31.7 20.2
"Male" 59 21.9 31.9 21.2
"Male" 59 21.5 31.9 20.1
"Female" 55.5 20.1 31.9 20
"Male" 57 21 32 19.5
"Male" 55 22.3 32.1 20.6
"Male" 59 22 32.2 20.4
"Male" 58 21.7 32.2 22.6
"Male" 57 21.6 32.2 19.6
"Male" 55.5 21.6 32.4 19.8
"Male" 58 21.8 32.5 19.9
"Male" 58 21.8 32.5 19.9
"Male" 58 22 32.8 20.6
"Male" 58 21.6 32.8 20.8
"Female" 56 20.5 30.8 16.8
"Male" 60 21.7 31.3 19.8
"Male" 59 21.8 31.4 19.2
"Male" 58 21.5 31.4 19.7
"Male" 59.5 21.2 31.5 22.1
"Female" 55.5 21.8 31.6 19.2
"Male" 58.5 22.1 31.7 19.9
"Female" 56 21.7 31.8 20.4
"Female" 56 21.3 31.8 21.3
"Male" 59 21.8 32 20.4
"Male" 55.5 21.4 32 19
"Male" 55 22.4 32.1 21.8
"Male" 58.5 21.7 32.1 19.5
"Male" 58.5 21.7 32.1 21.5
"Male" 59 21.2 32.2 20.3
"Male" 55 21 32.2 18.5
"Male" 60 21.7 32.3 21.2
"Male" 59.5 22.3 32.4 21.1
"Male" 58 22 32.4 20.5
"Male" 58.5 21.9 32.4 19.7
"Male" 56 21.9 32.7 20.8
"Female" 56 21.3 30.9 17.2
"Female" 57 21.1 31.1 19.7
"Male" 59 21.7 31.2 19.9
"Male" 58 21.3 31.3 19.7
"Female" 55 21.2 31.3 20.7
"Female" 54 20.8 31.3 17
"Female" 55 21.7 31.4 19.6
"Female" 53 21 31.4 17.2
"Female" 55 21.6 31.5 19.3
"Male" 58 21.3 31.5 20.1
"Male" 59.5 22.2 31.6 21.5
"Female" 55 21.6 31.6 20.1
"Female" 54 21.6 31.7 18.5
"Female" 54.5 21.2 31.7 19.1
"Female" 55 20.6 31.7 18.5
"Male" 58 20.5 31.7 19.2
"Female" 58 22.2 31.8 20.4
"Female" 56 21.4 31.9 16.6
"Male" 57.5 20.7 31.9 19.7
"Female" 55 21 32 21.2
"Male" 58 20.8 32.1 20.7
"Male" 58 21.3 32.3 19.1
"Male" 59.5 20.9 32.3 20.3
"Male" 56 21.9 32.5 20.5
"Male" 59 21.5 32.5 20.5
"Male" 59 21.7 32.9 21.4
"Male" 59 21 30.1 19.5
"Female" 54.5 21.8 30.5 16.5
"Female" 54.5 21.2 30.5 19.2
"Male" 57 21.5 30.8 20.7
"Male" 59 20.1 30.9 18.8
"Male" 56 20.9 31.2 19
"Female" 54.5 20.6 31.3 16.5
"Female" 52.5 21.8 31.4 18.2
"Male" 58.5 21.2 31.5 20.5
"Male" 57 20.5 31.5 19.1
"Female" 56 21.3 31.6 20
"Female" 55 20.7 31.7 17.4
"Male" 56 21.9 31.8 21.2
"Female" 54 21.7 31.9 17.5
"Male" 56.5 21.4 31.9 18.8
"Male" 58 21.4 31.9 19.8
"Male" 55 22.2 32 19.8
"Male" 60 21 32 19.7
"Male" 59.5 20.8 32 19
"Male" 57 22.1 32.1 20.7
"Male" 59.5 22.6 32.2 20.1
"Male" 58 22.6 32.2 20.3
"Male" 58 21.3 32.2 20.3
"Female" 54 21.3 32.2 18.8
"Male" 59.5 21.5 32.4 20.2
"Male" 58 21.9 32.6 21.5
"Male" 57 20.2 30.4 19.1
"Male" 56 22.2 31.1 19.7
"Male" 57.5 21.9 31.4 19.5
"Male" 58 21.6 31.4 19.8
"Female" 54 21.4 31.6 16.5
"Male" 60 21.9 31.7 19.3
"Male" 59 21.6 31.7 19.5
"Male" 59 21.3 31.7 20.8
"Male" 58.5 21.2 31.7 21.2
"Male" 58.5 21.6 31.9 19.7
"Male" 61 21.3 31.9 21
"Male" 59 20.9 31.9 20.6
"Female" 58.5 20.1 32 16.9
"Male" 57 21.4 32.1 19.2
"Male" 57 21.4 32.1 20.1
"Male" 61 21.8 32.7 21.4
"Female" 57.5 20.8 30.1 17.1
"Female" 56.5 21.1 31 21.5
"Female" 56 21.9 31.2 17.4
"Male" 59.5 21.6 31.2 22.8
"Male" 58 20.5 31.3 20.1
"Male" 57 21.8 31.4 20.2
"Male" 58.5 21.7 31.6 19.9
"Male" 57 21.9 32 20.5
"Male" 58 21.6 32.1 20.5
"Female" 58.5 21.8 30.6 21.2
"Female" 56 20.8 30.8 17.6
"Female" 55 20.5 30.9 17.2
"Female" 54 22.1 31.1 18.8
"Male" 59 20.7 31.2 20.2
"Female" 55 21.5 31.3 16.9
"Male" 59 21.7 31.6 19.4
"Male" 55 20.8 31.6 18.2
"Female" 57 20.7 31.8 23.2
"Female" 55.5 21.5 31.9 19.6
"Male" 57.5 21.7 32.1 20.6
"Male" 57 21.4 32.2 20
"Male" 57 21.9 32.6 21.5
"Female" 53 21.3 31.2 20.5
"Male" 59 21.9 31.7 19.9
"Female" 54.5 21.8 31.7 18.2
"Male" 59 22.1 31.8 20.1
"Male" 57 22.1 31 19.6
"Male" 58 22.1 31.2 20.4
"Male" 59 20.8 31.4 19.9
"Male" 57.5 21.4 31.8 19.5
"Male" 55 21.6 31 19.2
"Female" 54 21.1 31.5 18.2
"Male" 60 21.7 31.6 20
"Male" 58.5 21.8 32 21
"Male" 63 23.2 35 26.1
"Female" 57.5 22.9 34.8 22
"Female" 58 22.6 34.9 21.3
"Male" 59 23.5 34.5 22.3
"Female" 58.5 23.8 34.3 24
"Female" 54.5 22 33.1 19.2
"Male" 64 23.2 35.1 25.2
"Female" 57 23.4 34.3 21.1
"Male" 61 24.3 32.4 24.3
"Male" 60 24.3 33.7 25
"Male" 62 24.4 33.9 23.2
"Male" 61 21.6 33.1 22.2
"Male" 60.5 24.4 34.2 23
"Male" 63 24.8 33.3 25
"Male" 63.5 23.4 34 22.5
"Female" 59 22.9 34.1 20.2
"Male" 61 23.5 32.9 23.1
"Male" 62 23.6 33.8 24.2
"Male" 63.5 23.5 34 22.5
"Female" 57 22.4 32.9 19.5
"Female" 57 21.8 33.6 22.6
"Male" 61 23.2 34.3 24
"Female" 61 23 34 22.7
"Male" 62 22.8 33.9 22.5
"Female" 59.5 23.1 34.2 21.8
"Female" 57 23.5 32.6 23.7
"Male" 59 21.8 32.8 20.5
"Male" 59 21 30.9 20.1
"Male" 58 21.1 32.4 20.6
"Male" 58 21.7 32.7 20.6
"Male" 56 22 32.1 19.1
"Male" 59 21.3 31.8 20.2
"Female" 57 21.2 31.8 18.5
"Female" 55 20.9 32.1 19.2
"Male" 57 21.7 32.4 20.2
"Male" 60 21.3 32.7 20
"Male" 59 21.6 32.8 20.5
"Male" 58 21 30.1 21
"Female" 54 20.4 30.8 20.2
"Male" 57 20.9 31.6 19.5
"Female" 55 21.6 32.1 18.5
"Female" 55 20.9 32.1 17.5
"Male" 60 21.4 32.2 22
"Female" 57 21.4 32.4 19
"Female" 54 21.3 32.6 18.8
"Male" 59.5 21.3 33.3 20.5
"Female" 56 20.5 31 19.5
"Male" 56 20.7 31.4 19.2
"Male" 55 21.1 31.8 19
"Male" 57 21 31.9 20
"Female" 57 20.4 31.9 17.2
"Male" 55.5 20.8 32.4 19.7
"Male" 58 21.6 32.7 21.5
"Male" 61 21.7 32.9 21.5
"Male" 59 21.4 32.9 20.2
"Female" 56.5 20.2 31.2 23.5
"Female" 55 21.3 31.5 18.2
"Male" 55 21 31.8 19
"Male" 58 20.3 32 20.2
"Male" 58 21.3 32.2 19.6
"Female" 55 21.3 32.4 20.8
"Male" 59.5 20.6 29.8 19.9
"Male" 58 21.6 31.3 19.5
"Female" 53.5 20.5 31.6 17.9
"Male" 59 21.8 31.8 19.4
"Male" 58 21.6 32.2 18.8
"Male" 59.5 21.3 32.2 19.6
"Male" 59 20.4 32.5 19.5
"Female" 54.5 21.2 30.9 18.7
"Male" 56 20.4 31 18.5
"Female" 56 21.1 31.3 18.1
"Male" 56 20.7 31.4 18.8
"Male" 56 20.6 31.4 19.2
"Male" 57 20.9 31.8 16.5
"Male" 58 20.8 31.8 19.2
"Male" 60 21.8 31.9 20.5
"Male" 57 22.2 32 19.4
"Male" 57 21.4 32 20.5
"Male" 59 21.8 32.2 21.2
"Male" 57 20.9 31.1 19.5
"Male" 58 21 31.2 20.2
"Male" 58.5 20.8 31.3 19
"Male" 56.5 20.4 31.4 17.5
"Male" 58.5 21.6 31.5 21
"Female" 52 20.6 31.5 19.2
"Male" 59.5 20.5 31.5 18.5
"Female" 57 21.3 31.7 19.2
"Male" 58.5 20.6 30.7 20.8
"Male" 58 21.1 31.4 20.8
"Male" 57 21.4 31.7 19.8
"Male" 58 21.4 32.3 20.2
"Male" 56 20.2 31.4 17.9
"Male" 60 20.9 31.5 20.2
"Male" 59 21.1 30.9 21
"Male" 59.5 20.4 31.5 22
"Male" 57 20.1 31.7 19.2
"Female" 54 21.1 30.8 19.1
"Male" 63 24.4 35.7 26.5
"Male" 62 22.8 34.3 25.5
"Male" 64 24.7 35.6 24.1
"Male" 62 23.5 34.6 23.2
"Male" 60 23.3 34.2 23.2
"Female" 61 23.4 35.2 25.5
"Male" 65 24 34.1 24.6
"Male" 63 25.4 33.8 24
"Male" 63.5 23.1 34.1 24.2
"Female" 57 21.9 33.1 20.2
"Male" 62 21.5 33.9 21.5
"Female" 58 22.5 33.3 21.5
"Male" 58 22.2 32.6 19.5
"Male" 59 22.7 31.4 22.2
"Male" 59 21.4 30.2 19.8
"Female" 55 20.6 30.5 18.8
"Male" 57 22.1 31.3 20.1
"Male" 60 22.1 30.4 21.2
"Male" 56 21.9 30.6 19
"Female" 55 21.2 31.7 18
"Female" 56 21.7 31.8 19
"Female" 54 20.9 31.9 18
"Male" 57 21.8 32.2 20.5
"Female" 55 20.6 31.2 19.5
"Female" 54 21.5 31.6 18.5
"Male" 57 21.9 31.7 20.2
"Female" 54 21.8 31.7 17
"Male" 60 21.7 29.7 20.6
"Female" 55 21.2 31.2 17.5
"Female" 56 20.4 31.2 18.8
"Male" 59 22.6 31.9 21.2
"Male" 58 21.8 32 20.5
"Male" 59 21.1 32.2 20.5
"Male" 57 21 31 20
"Male" 57 22.3 31.2 20.5
"Male" 61 22 31.4 21.8
"Male" 59 22.2 31.5 19.8
"Male" 57 21.8 32.3 20.5
"Male" 57.5 21.6 30.9 20
"Male" 68 22.5 31.5 19.5
"Male" 57 21.8 31.8 21.2
"Female" 54 21.7 32 19
"Female" 56 20.4 30.8 19.5
"Male" 58 21 31.4 19
"Male" 56 20.9 31.6 19.4
"Male" 59 21.4 29.8 19.5
"Male" 57 21.6 31.4 19.5
"Female" 55 21.4 31.6 17
"Male" 58 21.6 31.8 20.5
"Male" 56 21.3 30.5 18.5
"Female" 54.5 19.5 30.6 17.5
"Female" 56.5 21.2 31.2 16
"Male" 58 21.9 32.1 21.8
"Male" 59 21 31.1 19.7
"Female" 55 20.6 31.2 21.5
"Female" 55 21 29.4 19.2
"Male" 63 24.1 35.1 25.5
"Male" 60.5 20.9 31.3 21
"Male" 59 20.7 32.9 20.9
"Female" 54.5 20.9 31.7 21.6
"Male" 59 21.5 31.8 20.6
"Female" 55.5 20.5 31.4 15.7
"Female" 55 21.3 31.6 18
"Female" 56.5 20.1 31.7 18.1
"Male" 57.5 21.4 32.1 20.9
"Male" 58 21.5 32.6 20.5
"Male" 57.5 20.4 31.1 19.5
"Female" 54.5 20.5 31.4 25.4
"Female" 57 20.6 31.6 16.2
"Male" 59 20.1 31.6 19.5
"Female" 55 20.1 31.8 16.5
"Male" 58 21.5 32.9 18.6
"Female" 54 20.8 31 20.5
"Female" 56 21.2 31.2 18.1
"Female" 54 20.7 31.2 16.4
"Male" 58 20.8 31.8 20
"Male" 58 20.5 31.8 18.6
"Male" 58 20.3 32.1 19.5
"Male" 59.5 21.7 32.2 20.2
"Male" 59.5 21.4 32.3 21.6
"Female" 53.5 20.2 30.9 17.7
"Female" 55.5 21.9 31 21.5
"Male" 58 21.1 31.6 20.5
"Male" 58 20.3 31.8 18.2
"Male" 57.5 21 32 19.7
"Male" 57 20.9 32.4 20
"Male" 59.5 20.9 32.7 20
"Male" 55.5 20.9 31.2 20.5
"Male" 58 20.7 31.5 20.5
"Male" 56.5 21.6 31.6 19.6
"Male" 60 20.8 31.6 20
"Female" 55 20.6 31.6 18.2
"Male" 59.5 21.3 31.7 20
"Male" 57 21.2 31.7 19.9
"Male" 58 20.1 31.7 19.7
"Male" 57 21.9 31.8 20.2
"Male" 57 21.5 31.9 21.7
"Male" 56 21.4 31.9 19.5
"Female" 56 20.7 32.1 18
"Male" 58.5 20.8 31 19
"Female" 54 20.2 31.1 17.6
"Male" 56.5 20.7 31.2 21.5
"Male" 60 20.8 31.3 20.5
"Female" 55 20.1 31.3 19
"Female" 56 20.3 31.4 21.5
"Female" 53 20.8 31.7 16.9
"Male" 57 21.9 31.8 21
"Male" 59 21.4 31.8 20.5
"Male" 59 21.2 31.9 20.6
"Male" 57 21.8 32.1 20.5
"Male" 56 21.7 32.1 20.6
"Male" 60 21.6 32.2 22
"Male" 58.5 21.8 32.3 19.1
"Male" 57 20.4 30.1 18.2
"Male" 58 20.4 30.7 19.6
"Male" 58 21.7 30.9 20.5
"Male" 55 21.3 30.9 18.5
"Male" 57 21.2 31.3 20.5
"Male" 59 22.2 31.4 20.5
"Female" 54 19.7 31.6 17.9
"Female" 56.5 20.6 31.7 18
"Male" 60 21.4 31.8 20.5
"Male" 59 21.2 31.8 20.2
"Male" 60 20.8 32 22.5
"Male" 59 21.6 32.4 20.1
"Female" 54.5 20.1 31.2 17.7
"Female" 57.5 20.8 31.5 20.1
"Male" 56.5 21.7 31.8 20.5
"Male" 57 20.7 32 19.2
